datetime,payload_callsign,lat,lon,alt,ascent_rate,batt,ext_humidity,ext_pressure,ext_temperature,frame,sats,speed,temp,upload_time,uploader_alt,uploader_callsign,software_name,software_version,frequency,modulation,baud_rate,snr,rssi,uploader_position,uploader_antenna,uploader_radio,time_received,raw
2025-06-21T19:05:06.000000Z,APEX-2-T,42.13188171386719,-71.22117614746094,10209,0.0,1.3137254901960784,7,272.1,5.4,1359,15,185,5,2025-06-21T19:05:12.776834,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625877,Horus Binary v2,,-7.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:11.368791Z,5B034F051305060C8728423E718EC2E127B90F05430000360007A10A00008FE4
2025-06-21T19:04:51.000000Z,APEX-2-T,42.13890075683594,-71.2227554321289,10359,0.0,1.3333333333333333,7,266.5,5.5,1356,15,177,5,2025-06-21T19:04:56.485333,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625883,Horus Binary v2,,-8.35,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:04:56.349126Z,5B034C051304333C8E28420D728EC27728B10F05440000370007690A00003168
2025-06-21T19:05:21.000000Z,APEX-2-T,42.12482833862305,-71.21955108642578,10058,0.0,1.3137254901960784,7,278.3,5.5,1362,15,182,5,2025-06-21T19:05:26.907300,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625875,Horus Binary v2,,-5.47,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:26.386060Z,5B035205130515D37F284269708EC24A27B60F05430000370007DF0A0000700E
2025-06-21T19:05:01.000000Z,APEX-2-T,42.13417434692383,-71.22159576416016,10260,0.0,1.3333333333333333,7,270.3,5.5,1358,15,186,5,2025-06-21T19:05:06.631279,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625882,Horus Binary v2,,-7.91,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:06.420029Z,5B034E051305016589284275718EC21428BA0F054400003700078F0A00008265
2025-06-21T19:05:41.000000Z,APEX-2-T,42.115501403808594,-71.21783447265625,9860,0.0,1.3137254901960784,7,286.0,5.6,1366,15,196,5,2025-06-21T19:05:47.062668,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625867,Horus Binary v2,,-7.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:46.441557Z,5B03560513052946762842886F8EC28426C40F054300003800072C0B0000F1E1
2025-06-21T19:05:46.000000Z,APEX-2-T,42.113189697265625,-71.21734619140625,9810,0.0,1.3137254901960784,7,288.2,5.6,1367,15,179,5,2025-06-21T19:05:53.267412,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-7.2,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:51.463335Z,5B03570513052EE8732842486F8EC25226B30F05430000380007420B000063CA
2025-06-21T19:06:01.000000Z,APEX-2-T,42.10670852661133,-71.21612548828125,9671,0.0,1.3137254901960784,7,294.0,5.6,1370,15,165,5,2025-06-21T19:06:07.543549,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-7.19,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:05.983655Z,5B035A05130601456D2842A86E8EC2C725A50F054300003800077C0B000017C8
2025-06-21T19:06:06.000000Z,APEX-2-T,42.1046142578125,-71.21585845947266,9625,0.0,1.3333333333333333,7,296.0,5.7,1371,16,173,5,2025-06-21T19:06:11.690971,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625874,Horus Binary v2,,-5.25,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:11.017708Z,5B035B05130606206B2842856E8EC29925AD1005440000390007900B0000CAE6
2025-06-21T19:06:16.000000Z,APEX-2-T,42.10036849975586,-71.21519470214844,9532,0.0,1.3137254901960784,7,299.8,5.7,1373,16,165,5,2025-06-21T19:06:21.856050,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.62587,Horus Binary v2,,-3.94,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:06:21.003692Z,5B035D05130610C76628422E6E8EC23C25A51005430000390007B60B000016A9
2025-06-21T19:05:51.000000Z,APEX-2-T,42.11090850830078,-71.21694946289062,9761,0.0,1.3137254901960784,7,290.2,5.6,1368,15,186,5,2025-06-21T19:05:57.388218,0.0,W0MXX-HOME,horusdemodlib,0.3.13,432.625863,Horus Binary v2,,-7.13,,"42.139362,-71.396149",Comet GP-3,HorusDemodLib + RTLSDR (432.625 MHz),2025-06-21T19:05:56.510710Z,5B03580513053392712842146F8EC22126BA0F05430000380007560B00006136
